instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-t75k11xx_150,1541596,1131605,0.000174,vnd,best,['transpose'],c_and_w,
N-t75k11xx_150,1541596,1483168,0.300781,vnd,best,['exchange'],random,
N-t75k11xx_150,1541596,1468004,0.298708,vnd,best,['exchange'],c_and_w,
N-t75k11xx_150,1541596,1499066,0.522704,vnd,best,['insert'],random,
N-t75k11xx_150,1541596,1497564,0.553051,vnd,best,['insert'],c_and_w,
N-t75n11xx_150,1743094,1081423,6.5e-05,vnd,first,['transpose'],random,
N-t75n11xx_150,1743094,1291642,6.8e-05,vnd,first,['transpose'],c_and_w,
N-t75n11xx_150,1743094,1682018,1.51137,vnd,first,['exchange'],random,
N-t75n11xx_150,1743094,1679209,1.39364,vnd,first,['exchange'],c_and_w,
N-t75n11xx_150,1743094,1666208,0.315042,vnd,first,['insert'],random,
N-t75n11xx_150,1743094,1677288,0.539428,vnd,first,['insert'],c_and_w,
N-t75n11xx_150,1743094,1081998,0.000161,vnd,best,['transpose'],random,
N-t75n11xx_150,1743094,1295335,0.000176,vnd,best,['transpose'],c_and_w,
N-t75n11xx_150,1743094,1663955,0.323887,vnd,best,['exchange'],random,
N-t75n11xx_150,1743094,1681843,0.183194,vnd,best,['exchange'],c_and_w,
N-t75n11xx_150,1743094,1682985,0.483525,vnd,best,['insert'],random,
N-t75n11xx_150,1743094,1690644,0.627709,vnd,best,['insert'],c_and_w,
N-tiw56n54_150,837945,581970,8.9e-05,vnd,first,['transpose'],random,
N-tiw56n54_150,837945,656991,8.1e-05,vnd,first,['transpose'],c_and_w,
N-tiw56n54_150,837945,815329,1.26783,vnd,first,['exchange'],random,
N-tiw56n54_150,837945,807808,0.938106,vnd,first,['exchange'],c_and_w,
N-tiw56n54_150,837945,804487,0.4688,vnd,first,['insert'],random,
N-tiw56n54_150,837945,804693,0.556542,vnd,first,['insert'],c_and_w,
N-tiw56n54_150,837945,581762,0.000208,vnd,best,['transpose'],random,
N-tiw56n54_150,837945,658549,0.000206,vnd,best,['transpose'],c_and_w,
