instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t75d11xx_150,9642140,c_and_w,first,['exchange'],1933266,2.0709,
N-t75d11xx_150,9642140,random,first,['insert'],3258851,0.80805,
N-t75d11xx_150,9642140,c_and_w,first,['insert'],1862027,0.953721,
N-t75d11xx_150,9642140,random,best,['transpose'],221441,0.000218,
N-t75d11xx_150,9642140,c_and_w,best,['transpose'],132784,0.00019,
N-t75d11xx_150,9642140,random,best,['exchange'],3280699,0.433904,
N-t75d11xx_150,9642140,c_and_w,best,['exchange'],1834221,0.358969,
N-t75d11xx_150,9642140,random,best,['insert'],3361868,0.769916,
N-t75d11xx_150,9642140,c_and_w,best,['insert'],1949193,0.694221,
N-t75e11xx_150,41570193,random,first,['transpose'],712048,0.000101,
N-t75e11xx_150,41570193,c_and_w,first,['transpose'],1224887,0.000145,
N-t75e11xx_150,41570193,random,first,['exchange'],14134747,2.28071,
N-t75e11xx_150,41570193,c_and_w,first,['exchange'],9053601,2.16974,
N-t75e11xx_150,41570193,random,first,['insert'],13312476,0.734841,
N-t75e11xx_150,41570193,c_and_w,first,['insert'],7911527,0.62452,
N-t75e11xx_150,41570193,random,best,['transpose'],840001,0.000248,
N-t75e11xx_150,41570193,c_and_w,best,['transpose'],1073300,0.000284,
N-t75e11xx_150,41570193,random,best,['exchange'],13997067,0.39721,
N-t75e11xx_150,41570193,c_and_w,best,['exchange'],8329170,0.373833,
N-t75e11xx_150,41570193,random,best,['insert'],13996595,0.734118,
N-t75e11xx_150,41570193,c_and_w,best,['insert'],8983948,0.662426,
N-t75k11xx_150,1541596,random,first,['transpose'],16955,8.9e-05,
N-t75k11xx_150,1541596,c_and_w,first,['transpose'],18951,8.1e-05,
N-t75k11xx_150,1541596,random,first,['exchange'],520718,1.7908,
N-t75k11xx_150,1541596,c_and_w,first,['exchange'],388773,1.61915,
N-t75k11xx_150,1541596,random,first,['insert'],489386,0.490117,
N-t75k11xx_150,1541596,c_and_w,first,['insert'],362673,0.803897,
N-t75k11xx_150,1541596,random,best,['transpose'],26802,0.000233,
N-t75k11xx_150,1541596,c_and_w,best,['transpose'],18132,0.00022,
N-t75k11xx_150,1541596,random,best,['exchange'],503672,0.375688,
N-t75k11xx_150,1541596,c_and_w,best,['exchange'],353877,0.350184,
N-t75k11xx_150,1541596,random,best,['insert'],519570,0.703304,
N-t75k11xx_150,1541596,c_and_w,best,['insert'],383073,0.734381,
N-t75n11xx_150,1743094,random,first,['transpose'],22907,7.9e-05,
N-t75n11xx_150,1743094,c_and_w,first,['transpose'],17863,8.2e-05,
N-t75n11xx_150,1743094,random,first,['exchange'],623502,1.88017,
N-t75n11xx_150,1743094,c_and_w,first,['exchange'],405430,1.83711,
N-t75n11xx_150,1743094,random,first,['insert'],607692,0.784226,
N-t75n11xx_150,1743094,c_and_w,first,['insert'],403509,0.765842,
N-t75n11xx_150,1743094,random,best,['transpose'],23482,0.000185,
N-t75n11xx_150,1743094,c_and_w,best,['transpose'],21556,0.0002,
N-t75n11xx_150,1743094,random,best,['exchange'],605439,0.398248,
N-t75n11xx_150,1743094,c_and_w,best,['exchange'],408064,0.364251,
N-t75n11xx_150,1743094,random,best,['insert'],624469,0.745423,
N-t75n11xx_150,1743094,c_and_w,best,['insert'],416865,0.774581,
N-tiw56n54_150,837945,random,first,['transpose'],17308,8.7e-05,
