instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t75n11xx_250,4524942,c_and_w,first,"['transpose', 'exchange', 'insert']",1001985,27.2284,
N-t75n11xx_250,4524942,c_and_w,first,"['transpose', 'insert', 'exchange']",916511,8.88411,
N-tiw56n54_250,2098726,c_and_w,first,"['transpose', 'exchange', 'insert']",415533,24.8234,
N-tiw56n54_250,2098726,c_and_w,first,"['transpose', 'insert', 'exchange']",403250,9.5554,
N-tiw56n58_250,2906657,c_and_w,first,"['transpose', 'exchange', 'insert']",526881,22.6148,
N-tiw56n58_250,2906657,c_and_w,first,"['transpose', 'insert', 'exchange']",504214,10.1241,
N-tiw56n62_250,4142745,c_and_w,first,"['transpose', 'exchange', 'insert']",732266,25.6322,
N-tiw56n62_250,4142745,c_and_w,first,"['transpose', 'insert', 'exchange']",687292,10.2368,
N-tiw56n66_250,5370404,c_and_w,first,"['transpose', 'exchange', 'insert']",958547,21.9612,
N-tiw56n66_250,5370404,c_and_w,first,"['transpose', 'insert', 'exchange']",919341,10.0529,
N-tiw56n67_250,6324858,c_and_w,first,"['transpose', 'exchange', 'insert']",1147963,25.5054,
N-tiw56n67_250,6324858,c_and_w,first,"['transpose', 'insert', 'exchange']",1117795,13.5696,
N-tiw56n72_250,11149706,c_and_w,first,"['transpose', 'exchange', 'insert']",2007797,23.7811,
N-tiw56n72_250,11149706,c_and_w,first,"['transpose', 'insert', 'exchange']",1882610,9.82564,
N-tiw56r54_250,2387349,c_and_w,first,"['transpose', 'exchange', 'insert']",483484,24.1195,
N-tiw56r54_250,2387349,c_and_w,first,"['transpose', 'insert', 'exchange']",437059,10.0147,
N-tiw56r58_250,3060323,c_and_w,first,"['transpose', 'exchange', 'insert']",536679,21.55,
N-tiw56r58_250,3060323,c_and_w,first,"['transpose', 'insert', 'exchange']",494401,8.94674,
N-tiw56r66_250,4948414,c_and_w,first,"['transpose', 'exchange', 'insert']",877940,20.6325,
N-tiw56r66_250,4948414,c_and_w,first,"['transpose', 'insert', 'exchange']",824444,7.92053,
N-tiw56r67_250,5289658,c_and_w,first,"['transpose', 'exchange', 'insert']",895780,18.3574,
N-tiw56r67_250,5289658,c_and_w,first,"['transpose', 'insert', 'exchange']",858172,9.10468,
N-tiw56r72_250,7451579,c_and_w,first,"['transpose', 'exchange', 'insert']",1404395,16.6475,
N-tiw56r72_250,7451579,c_and_w,first,"['transpose', 'insert', 'exchange']",1290393,9.37091,
