algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,first,['transpose'],c_and_w,N-be75eec_150,5825147,2657351,1.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,5825147,3396593,0.364897,
vnd,first,['exchange'],c_and_w,N-be75eec_150,5825147,3379429,0.305805,
vnd,first,['insert'],random,N-be75eec_150,5825147,3328604,0.136122,
vnd,first,['insert'],c_and_w,N-be75eec_150,5825147,3333196,0.133157,
vnd,best,['transpose'],random,N-be75eec_150,5825147,2182589,2.6e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,5825147,2660170,7.4e-05,
vnd,best,['exchange'],random,N-be75eec_150,5825147,3373535,0.073196,
vnd,best,['exchange'],c_and_w,N-be75eec_150,5825147,3346308,0.060964,
vnd,best,['insert'],random,N-be75eec_150,5825147,3369650,0.136768,
vnd,best,['insert'],c_and_w,N-be75eec_150,5825147,3381254,0.133742,
vnd,first,['transpose'],random,N-be75eec_150,6174178,2169797,1.1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,6174178,2657351,3e-05,
vnd,first,['exchange'],random,N-be75eec_150,6174178,3396593,0.349326,
vnd,first,['exchange'],c_and_w,N-be75eec_150,6174178,3379429,0.280598,
vnd,first,['insert'],random,N-be75eec_150,6174178,3328604,0.13358,
vnd,first,['insert'],c_and_w,N-be75eec_150,6174178,3333196,0.151249,
vnd,best,['transpose'],random,N-be75eec_150,6174178,2182589,6.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,6174178,2660170,7.5e-05,
vnd,best,['exchange'],random,N-be75eec_150,6174178,3373535,0.076318,
vnd,best,['exchange'],c_and_w,N-be75eec_150,6174178,3346308,0.061667,
vnd,best,['insert'],random,N-be75eec_150,6174178,3369650,0.119725,
vnd,best,['insert'],c_and_w,N-be75eec_150,6174178,3381254,0.145149,
vnd,first,['transpose'],random,N-be75eec_150,5150097,2169797,1.1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,5150097,2657351,1.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,5150097,3396593,0.380798,
vnd,first,['exchange'],c_and_w,N-be75eec_150,5150097,3379429,0.270459,
vnd,first,['insert'],random,N-be75eec_150,5150097,3328604,0.160028,
vnd,first,['insert'],c_and_w,N-be75eec_150,5150097,3333196,0.137455,
vnd,best,['transpose'],random,N-be75eec_150,5150097,2182589,2.6e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,5150097,2660170,2.7e-05,
vnd,best,['exchange'],random,N-be75eec_150,5150097,3373535,0.07664,
vnd,best,['exchange'],c_and_w,N-be75eec_150,5150097,3346308,0.061724,
vnd,best,['insert'],random,N-be75eec_150,5150097,3369650,0.121425,
vnd,best,['insert'],c_and_w,N-be75eec_150,5150097,3381254,0.147678,
vnd,first,['transpose'],random,N-be75eec_150,436862,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,436862,2657351,1.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,436862,3396593,0.350089,
vnd,first,['exchange'],c_and_w,N-be75eec_150,436862,3379429,0.313841,
vnd,first,['insert'],random,N-be75eec_150,436862,3328604,0.146154,
vnd,first,['insert'],c_and_w,N-be75eec_150,436862,3333196,0.137368,
vnd,best,['transpose'],random,N-be75eec_150,436862,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,436862,2660170,2.8e-05,
vnd,best,['exchange'],random,N-be75eec_150,436862,3373535,0.075078,
vnd,best,['exchange'],c_and_w,N-be75eec_150,436862,3346308,0.061839,
vnd,best,['insert'],random,N-be75eec_150,436862,3369650,0.128548,
vnd,best,['insert'],c_and_w,N-be75eec_150,436862,3381254,0.117747,
vnd,first,['transpose'],random,N-be75eec_150,948913,2169797,2.9e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,948913,2657351,3.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,948913,3396593,0.355913,
vnd,first,['exchange'],c_and_w,N-be75eec_150,948913,3379429,0.289502,
vnd,first,['insert'],random,N-be75eec_150,948913,3328604,0.147708,
vnd,first,['insert'],c_and_w,N-be75eec_150,948913,3333196,0.126096,
vnd,best,['transpose'],random,N-be75eec_150,948913,2182589,6.8e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,948913,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,948913,3373535,0.08153,
